,expected_y,predicted_y
114,Iris-virginica,Iris-virginica
62,Iris-versicolor,Iris-versicolor
33,Iris-setosa,Iris-setosa
107,Iris-virginica,Iris-virginica
7,Iris-setosa,Iris-setosa
100,Iris-virginica,Iris-virginica
40,Iris-setosa,Iris-setosa
86,Iris-versicolor,Iris-versicolor
76,Iris-versicolor,Iris-versicolor
71,Iris-versicolor,Iris-versicolor
134,Iris-virginica,Iris-virginica
51,Iris-versicolor,Iris-versicolor
73,Iris-versicolor,Iris-versicolor
54,Iris-versicolor,Iris-versicolor
63,Iris-versicolor,Iris-versicolor
37,Iris-setosa,Iris-setosa
78,Iris-versicolor,Iris-versicolor
90,Iris-versicolor,Iris-versicolor
45,Iris-setosa,Iris-setosa
16,Iris-setosa,Iris-setosa
121,Iris-virginica,Iris-virginica
66,Iris-versicolor,Iris-versicolor
24,Iris-setosa,Iris-setosa
8,Iris-setosa,Iris-setosa
126,Iris-virginica,Iris-virginica
22,Iris-setosa,Iris-setosa
44,Iris-setosa,Iris-setosa
97,Iris-versicolor,Iris-versicolor
93,Iris-versicolor,Iris-versicolor
26,Iris-setosa,Iris-setosa
137,Iris-virginica,Iris-virginica
84,Iris-versicolor,Iris-versicolor
27,Iris-setosa,Iris-setosa
127,Iris-virginica,Iris-virginica
132,Iris-virginica,Iris-virginica
59,Iris-versicolor,Iris-versicolor
18,Iris-setosa,Iris-setosa
83,Iris-versicolor,Iris-virginica
61,Iris-versicolor,Iris-versicolor
92,Iris-versicolor,Iris-versicolor
112,Iris-virginica,Iris-virginica
2,Iris-setosa,Iris-setosa
141,Iris-virginica,Iris-virginica
43,Iris-setosa,Iris-setosa
10,Iris-setosa,Iris-setosa
